Date,VN30_Closeprice,VN30_Open,Set100_ClosePrice,Set100_Open
"Apr 10, 2019",893.19,899.91,2441.85,2436.82
"Apr 09, 2019",900.07,906.46,2434.16,2421.91
"Apr 08, 2019",906.55,904.92,NA,NA
"Apr 05, 2019",904.69,904.33,2413.92,2414.00
"Apr 04, 2019",904.33,901.50,2411.09,2420.10
"Apr 03, 2019",901.50,903.59,2419.80,2426.53
"Apr 02, 2019",903.59,907.18,2423.57,2422.44
"Apr 01, 2019",905.87,900.17,2412.10,2412.55
"Mar 29, 2019",900.13,901.65,2401.55,2404.45
"Mar 28, 2019",901.65,901.51,2395.51,2382.31
"Mar 27, 2019",901.76,895.71,2388.53,2394.21
"Mar 26, 2019",894.58,893.78,2395.02,2385.29
"Mar 25, 2019",893.40,912.10,2384.14,2393.54
"Mar 22, 2019",912.27,907.94,2418.15,2400.21
"Mar 21, 2019",907.87,924.22,2395.50,2391.64
"Mar 20, 2019",924.12,927.54,2383.74,2390.21
"Mar 19, 2019",927.56,933.56,2388.01,2367.88
"Mar 18, 2019",932.75,927.16,2367.28,2385.64
"Mar 15, 2019",927.06,934.87,2380.23,2396.88
"Mar 14, 2019",934.42,935.41,2395.50,2405.11
"Mar 13, 2019",935.41,929.86,2400.48,2377.37
"Mar 12, 2019",929.86,919.21,2380.12,2387.58
"Mar 11, 2019",916.24,915.00,2380.07,2391.74
"Mar 08, 2019",914.74,922.16,2386.43,2389.70
"Mar 07, 2019",922.29,923.77,2392.53,2378.83
"Mar 06, 2019",923.58,923.66,2379.17,2396.62
"Mar 05, 2019",923.66,928.25,2401.49,2393.24
"Mar 04, 2019",928.42,915.39,2395.86,2405.98
"Mar 01, 2019",915.32,904.96,2405.95,2428.74
"Feb 28, 2019",904.98,930.37,2425.16,2448.07
"Feb 27, 2019",930.54,929.51,2446.60,2444.23
"Feb 26, 2019",929.51,939.56,2443.33,2447.00
"Feb 25, 2019",939.47,929.57,2457.57,2446.69
"Feb 22, 2019",929.50,926.30,2436.52,2412.36
"Feb 21, 2019",926.09,912.83,2416.73,2416.15
"Feb 20, 2019",911.80,907.82,2413.94,2402.49
"Feb 19, 2019",907.82,905.09,NA,NA
"Feb 18, 2019",904.93,899.75,2397.33,2412.95
"Feb 15, 2019",897.74,900.14,2399.38,2422.24
"Feb 14, 2019",900.12,897.42,2425.84,2435.48
"Feb 13, 2019",897.42,888.33,2431.90,2421.08
"Feb 12, 2019",888.33,878.69,2409.33,2402.11
"Feb 11, 2019",878.67,862.20,2403.36,2413.40
"Feb 01, 2019",859.81,866.01,2426.47,2415.85
"Jan 31, 2019",866.06,869.38,2411.25,2410.89
"Jan 30, 2019",869.16,872.01,2397.96,2390.02
"Jan 29, 2019",872.03,868.81,2386.18,2382.56
"Jan 28, 2019",868.76,867.60,2386.72,2392.77
"Jan 25, 2019",867.70,865.44,2385.83,2388.09
"Jan 24, 2019",865.52,861.63,2380.28,2380.03
"Jan 23, 2019",861.73,859.26,2377.71,2353.40
"Jan 22, 2019",859.17,864.10,2354.34,2330.10
"Jan 21, 2019",864.10,855.00,2331.71,2328.55
"Jan 18, 2019",854.79,853.34,2323.69,2326.18
"Jan 17, 2019",853.34,864.15,2318.60,2315.88
"Jan 16, 2019",864.29,865.00,2314.64,2319.70
"Jan 15, 2019",865.10,859.42,2312.60,2330.32
"Jan 14, 2019",859.42,860.40,2322.79,2339.26
"Jan 11, 2019",860.30,857.84,2347.64,2340.01
"Jan 10, 2019",857.95,855.39,2333.95,2336.74
"Jan 09, 2019",855.51,845.53,2338.13,2360.79
"Jan 08, 2019",845.43,851.20,2343.15,2344.48
"Jan 07, 2019",851.41,840.17,2342.71,2329.85
"Jan 04, 2019",840.17,838.79,2313.22,2285.85
"Jan 03, 2019",838.79,855.66,2286.56,2307.10
"Jan 02, 2019",855.66,854.99,2297.28,2299.61
"Dec 28, 2018",854.99,866.04,2293.11,2274.54
"Dec 27, 2018",865.45,861.53,2269.94,2330.36
"Dec 26, 2018",861.02,865.69,2285.55,2284.96
"Dec 25, 2018",865.69,873.56,2284.21,2313.50
"Dec 24, 2018",873.64,873.14,2339.72,2335.22
"Dec 21, 2018",873.09,877.02,2345.91,2334.65
"Dec 20, 2018",877.03,880.40,2345.88,2342.31
"Dec 19, 2018",882.79,890.78,2353.43,2323.50
"Dec 18, 2018",890.68,901.31,2324.48,2340.52
"Dec 17, 2018",901.41,914.97,2352.17,2367.91
"Dec 14, 2018",918.79,928.84,2361.25,2366.19
"Dec 13, 2018",928.90,928.21,2369.20,2409.03
"Dec 12, 2018",927.70,922.43,2402.04,2415.28
"Dec 11, 2018",922.34,922.58,2399.13,2422.47
"Dec 10, 2018",922.82,928.96,NA,NA
"Dec 07, 2018",929.59,923.90,2427.79,2439.64
"Dec 06, 2018",922.86,925.58,2435.17,2432.38
"Dec 05, 2018",925.68,927.39,NA,NA
"Dec 04, 2018",927.46,921.74,2466.17,2468.19
"Dec 03, 2018",921.72,896.50,2465.17,2445.33
"Nov 30, 2018",894.79,897.48,2409.21,2408.61
"Nov 29, 2018",897.58,901.48,2401.14,2417.16
"Nov 28, 2018",901.40,894.66,2406.91,2401.32
"Nov 27, 2018",895.30,895.07,2397.20,2390.38
"Nov 26, 2018",895.05,889.88,2391.89,2376.54
"Nov 23, 2018",890.62,898.05,2376.49,2353.00
"Nov 22, 2018",898.90,897.28,2348.46,2367.20
"Nov 21, 2018",897.10,888.54,2368.59,2346.57
"Nov 20, 2018",893.09,886.36,2360.13,2389.33
"Nov 19, 2018",888.76,869.24,2396.88,2392.32
"Nov 16, 2018",869.24,865.03,2393.11,2401.60
"Nov 15, 2018",864.98,871.55,2399.13,2426.44
"Nov 14, 2018",871.55,873.87,2418.67,2421.14
"Nov 13, 2018",873.87,888.20,2430.97,2405.92
"Nov 12, 2018",888.20,883.49,2420.86,2448.88
"Nov 09, 2018",885.65,900.40,2441.47,2452.77
"Nov 08, 2018",900.40,901.42,2464.12,2470.98
"Nov 07, 2018",899.25,900.47,2453.82,2450.08
"Nov 06, 2018",899.61,905.34,2442.55,2456.36
"Nov 05, 2018",904.83,903.24,2444.53,2440.86
"Nov 02, 2018",903.43,889.81,2461.43,2450.45
"Nov 01, 2018",887.72,901.57,2439.17,2447.49
"Oct 31, 2018",901.57,874.06,2443.28,2411.32
"Oct 30, 2018",874.06,872.69,2390.35,2391.26
"Oct 29, 2018",874.43,881.06,2387.97,2381.05
"Oct 26, 2018",881.06,890.71,2374.16,2390.03
"Oct 25, 2018",888.86,896.39,2401.83,2339.24
"Oct 24, 2018",896.50,908.00,2366.35,2394.88
"Oct 23, 2018",908.00,919.49,NA,NA
"Oct 22, 2018",922.75,931.66,2423.67,2438.78
"Oct 19, 2018",931.69,937.47,2434.98,2453.25
"Oct 18, 2018",937.54,945.92,2457.88,2471.69
"Oct 17, 2018",945.91,940.29,2476.75,2498.67
"Oct 16, 2018",939.41,928.46,2480.69,2480.30
"Oct 15, 2018",928.55,943.51,NA,NA
"Oct 12, 2018",943.49,918.83,2479.09,2471.23
"Oct 11, 2018",920.02,959.12,2457.88,2451.18
"Oct 10, 2018",966.27,967.37,2521.47,2499.97
"Oct 09, 2018",967.37,970.21,2480.41,2483.75
"Oct 08, 2018",970.28,979.27,2478.40,2515.17
"Oct 05, 2018",980.75,993.61,2516.13,2526.25
"Oct 04, 2018",993.61,990.49,2531.87,2541.67
"Oct 03, 2018",990.60,987.46,2552.49,2571.24
"Oct 02, 2018",987.88,990.26,2561.90,2578.40
"Oct 01, 2018",990.41,994.76,2583.34,2587.90
"Sep 28, 2018",994.73,989.98,2578.35,2581.06
"Sep 27, 2018",989.45,985.28,2574.43,2572.11
"Sep 26, 2018",984.39,985.26,2568.27,2573.99
"Sep 25, 2018",985.11,985.57,2567.36,2574.27
"Sep 24, 2018",985.59,974.47,2567.04,2568.58
"Sep 21, 2018",974.43,971.12,2579.13,2583.77
"Sep 20, 2018",971.18,962.70,2572.49,2581.14
"Sep 19, 2018",962.70,960.01,2568.04,2566.93
"Sep 18, 2018",959.75,953.45,2558.65,2514.28
"Sep 17, 2018",953.79,960.33,2515.70,2514.84
"Sep 14, 2018",960.33,958.01,2522.25,2527.07
"Sep 13, 2018",957.17,958.63,2516.09,2469.32
"Sep 12, 2018",958.67,959.20,2448.71,2436.67
"Sep 11, 2018",958.91,943.67,2437.86,2469.74
"Sep 10, 2018",943.31,945.04,2471.30,2464.30
"Sep 07, 2018",945.59,932.10,2469.24,2465.98
"Sep 06, 2018",932.12,941.00,2476.99,2463.83
"Sep 05, 2018",941.00,951.09,2465.83,2500.78
"Sep 04, 2018",951.14,969.23,2510.49,2524.48
"Aug 31, 2018",969.23,975.48,2524.74,2511.79
"Aug 30, 2018",975.43,964.99,2522.92,2535.39
"Aug 29, 2018",964.99,971.12,2529.73,2527.64
"Aug 28, 2018",971.01,966.34,2522.71,2531.73
"Aug 27, 2018",966.55,960.43,2520.48,2508.80
"Aug 24, 2018",960.42,960.22,2498.54,2494.53
"Aug 23, 2018",960.94,960.09,2501.16,2503.41
"Aug 22, 2018",959.63,956.00,2489.41,2485.64
"Aug 21, 2018",955.27,946.55,2481.80,2497.87
"Aug 20, 2018",945.65,949.23,2493.93,2489.39
"Aug 17, 2018",949.23,950.18,2474.51,2473.63
"Aug 16, 2018",950.18,946.91,2461.71,2448.93
"Aug 15, 2018",947.82,965.61,2452.61,2472.34
"Aug 14, 2018",965.60,960.29,2485.01,2477.55
"Aug 13, 2018",960.02,946.75,NA,NA
"Aug 10, 2018",948.32,942.85,2498.70,2518.24
"Aug 09, 2018",943.91,945.78,2526.11,2527.17
"Aug 08, 2018",945.89,937.69,2525.48,2505.47
"Aug 07, 2018",936.92,939.81,2502.93,2492.48
"Aug 06, 2018",939.84,941.13,2484.97,2520.39
"Aug 03, 2018",941.12,938.51,2511.43,2505.69
"Aug 02, 2018",937.86,939.85,2506.53,2519.52
"Aug 01, 2018",939.31,944.31,2529.93,2501.36
"Jul 31, 2018",944.38,938.73,2495.73,2498.03
"Jul 30, 2018",939.60,927.36,NA,NA
"Jul 27, 2018",927.19,923.02,NA,NA
"Jul 26, 2018",921.33,915.70,2494.53,2494.14
"Jul 25, 2018",915.68,923.55,2475.90,2457.17
"Jul 24, 2018",923.53,931.20,2451.04,2467.34
"Jul 23, 2018",931.31,927.01,2453.31,2444.42
"Jul 20, 2018",926.50,941.09,2444.41,2411.51
"Jul 19, 2018",941.09,935.54,2404.23,2394.03
"Jul 18, 2018",935.42,915.69,2385.79,2378.84
"Jul 17, 2018",915.53,903.87,2367.09,2363.64
"Jul 16, 2018",904.18,901.68,2369.64,2383.65
"Jul 13, 2018",899.45,886.17,2393.33,2398.54
"Jul 12, 2018",883.87,877.68,2391.23,2382.66
"Jul 11, 2018",881.14,894.16,2387.04,2379.56
"Jul 10, 2018",897.96,898.09,2400.60,2377.73
"Jul 09, 2018",898.73,905.97,2366.75,2372.18
"Jul 06, 2018",905.62,880.17,2352.75,2327.72
"Jul 05, 2018",883.77,901.25,2331.83,2370.01
"Jul 04, 2018",900.89,892.01,2374.11,2366.20
"Jul 03, 2018",891.97,930.12,2368.74,2337.86
"Jul 02, 2018",930.12,945.94,2339.76,2323.82
"Jun 29, 2018",947.55,947.03,2320.82,2332.85
"Jun 28, 2018",947.03,962.93,2323.52,2357.68
"Jun 27, 2018",961.29,973.89,2349.63,2372.27
"Jun 26, 2018",973.90,981.97,2359.78,2343.40
"Jun 25, 2018",982.09,973.45,2353.52,2384.50
"Jun 22, 2018",973.05,954.70,2373.68,2384.67
"Jun 21, 2018",955.75,966.91,2369.84,2417.70
"Jun 20, 2018",966.86,945.30,2418.62,2392.03
"Jun 19, 2018",945.11,970.06,2377.58,2420.13
"Jun 18, 2018",970.35,1004.97,2441.42,2462.18
"Jun 15, 2018",1005.04,1004.14,2481.53,2483.22
"Jun 14, 2018",1004.31,1018.07,2488.91,2497.83
"Jun 13, 2018",1018.59,1008.32,2504.58,2518.47
"Jun 12, 2018",1008.76,1021.02,2520.00,2517.21
"Jun 11, 2018",1024.85,1025.71,2513.04,2513.76
"Jun 08, 2018",1025.87,1026.76,2510.86,2537.52
"Jun 07, 2018",1026.75,1023.95,2532.24,2550.56
"Jun 06, 2018",1022.72,1007.51,2542.21,2540.47
"Jun 05, 2018",1007.32,996.67,2531.94,2514.56
"Jun 04, 2018",996.67,970.81,2512.41,2507.95
"Jun 01, 2018",969.15,949.13,2509.37,2522.90
"May 31, 2018",947.31,917.94,2522.98,2528.88
"May 30, 2018",918.64,924.90,2519.48,2505.71
"May 29, 2018",924.90,897.13,NA,NA
"May 28, 2018",898.00,932.00,2536.59,2538.13
"May 25, 2018",936.32,958.74,2547.09,2537.26
"May 24, 2018",960.55,968.93,2531.84,2556.03
"May 23, 2018",968.54,957.72,2566.61,2573.09
"May 22, 2018",958.95,996.19,2582.72,2595.79
"May 21, 2018",997.21,1023.28,2594.19,2584.56
"May 18, 2018",1022.21,1007.05,2572.13,2567.93
"May 17, 2018",1007.09,1034.20,2566.99,2566.18
"May 16, 2018",1034.30,1055.31,2562.53,2573.17
"May 15, 2018",1055.49,1055.82,2588.73,2597.46
"May 14, 2018",1051.45,1031.18,2596.64,2592.14
"May 11, 2018",1030.79,1019.69,2585.34,2558.96
"May 10, 2018",1019.69,1046.90,2554.19,2578.81
"May 09, 2018",1046.39,1047.83,2568.96,2575.08
"May 08, 2018",1047.83,1047.88,2574.06,2608.02
"May 07, 2018",1048.03,1010.99,2606.54,2616.68
"May 04, 2018",1010.89,1012.44,2606.06,2620.74
"May 03, 2018",1010.35,1011.83,2625.35,2619.42
"May 02, 2018",1012.84,1029.76,2626.54,2601.42
"Apr 27, 2018",1027.97,1018.06,2604.12,2600.43
"Apr 26, 2018",1018.97,1055.95,2592.55,2604.28
"Apr 24, 2018",1053.99,1055.24,2617.63,2630.91
"Apr 23, 2018",1055.37,1091.18,2620.45,2638.80
"Apr 20, 2018",1089.45,1066.33,2640.07,2631.90
"Apr 19, 2018",1066.09,1114.98,2628.70,2599.72
"Apr 18, 2018",1115.70,1131.56,2589.39,2570.72
"Apr 17, 2018",1130.32,1128.11,2560.07,2578.83
"Apr 16, 2018",1128.03,1133.00,NA,NA
"Apr 13, 2018",1134.21,1146.67,NA,NA
"Apr 12, 2018",1143.50,1136.76,2579.09,2577.33
"Apr 11, 2018",1137.20,1168.41,2574.78,2579.34
"Apr 10, 2018",1168.06,1177.68,2574.19,2569.97
"Apr 09, 2018",1177.68,1174.02,2560.25,2536.42
"Apr 06, 2018",1174.37,1169.12,NA,NA
"Apr 05, 2018",1169.12,1165.75,2537.75,2531.15
"Apr 04, 2018",1165.75,1161.24,2512.48,2580.03
"Apr 03, 2018",1160.97,1171.89,2577.69,2586.54
"Apr 02, 2018",1171.21,1153.11,2601.96,2589.03
"Mar 30, 2018",1153.08,1144.74,2591.88,2589.42
"Mar 29, 2018",1144.74,1151.65,2577.01,2604.72
"Mar 28, 2018",1151.09,1150.33,2606.58,2626.01
"Mar 27, 2018",1150.30,1146.86,2629.68,2638.33
"Mar 26, 2018",1146.73,1129.05,2628.16,2617.71
"Mar 23, 2018",1128.93,1144.18,2614.05,2587.77
"Mar 22, 2018",1144.58,1147.90,2615.70,2632.10
"Mar 21, 2018",1147.26,1134.79,2618.69,2631.87
"Mar 20, 2018",1134.19,1130.09,2619.49,2611.91
"Mar 19, 2018",1130.26,1117.13,2620.69,2641.35
"Mar 16, 2018",1112.93,1112.44,2639.98,2640.93
"Mar 15, 2018",1110.26,1114.89,2647.92,2649.54
"Mar 14, 2018",1115.00,1111.58,2646.39,2637.04
"Mar 13, 2018",1111.38,1106.97,2644.36,2626.05
"Mar 12, 2018",1106.97,1106.54,2631.89,2616.92
"Mar 09, 2018",1106.54,1107.83,2592.45,2601.25
"Mar 08, 2018",1105.03,1092.29,2589.48,2599.19
"Mar 07, 2018",1092.17,1102.85,2590.87,2613.90
"Mar 06, 2018",1103.31,1091.98,2618.05,2638.91
"Mar 05, 2018",1080.83,1113.71,2634.33,2642.65
"Mar 02, 2018",1106.92,1095.31,2643.32,2655.74
"Mar 01, 2018",1105.84,1106.03,NA,NA
